번호,신분,소속,응답여부,응답일시,소속대학원,전공,세부전공,쿠카이브 기본 사항 관련 질문입니다.,어떠한 경로를 통해 쿠카이브를 처음 접했습니까?* 해당사항에 모두 표시,쿠카이브에서 이용해본 경험이 있는 영역에 모두 체크해주십시오.*해당 사항에 모두 표시,쿠카이브에서 자주 사용할(사용할 의향이 있는)것으로 예상되는 영역을 체크해주십시오.*해당사항 모두 표시,쿠카이브가 자신에게 필요하다고 생각하십니까?,쿠카이브 전반의 운영과 지원 만족도 관련 질문입니다.,쿠카이브 사용자 페이지의 전반적인 디자인과 화면은 이용하기 쉽게 구성되었다.,쿠카이브에서 제공하는 기능을 쉽게 이해하고 이용하였다.,전반적으로 쿠카이브에서는 참여자 관리와 활동 지원이 잘되고 있다.,쿠카이브 전반의 운영 및 지원과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,쿠카이브 서비스 안정도 관련 질문입니다.,쿠카이브 사용자 페이지에서 서비스를 이용하는 동안 서버 상태 및 웹 사이트 접속은 원활하였다.,쿠카이브에서 제공하는 기능이 원활하게 작동되었다.,쿠카이브 기능별 만족도 관련 질문입니다.,"쿠카이브 기능별 서비스(교과활동내역확인, 비교과프로그램 신청, 핵심역량진단, 통합 상담, 포트폴리오, 커뮤니티, 매뉴얼)는 전반적으로 만족스럽게 제공되고 있다",[교과 활동 내역 확인],쿠카이브에서 제공하는 “교과 활동(이수교과목 및 성적 조회 등)내역 확인”에 접속해본 경험이 있습니까?,"참여경험이 있는 경우, 쿠카이브를 통한 “교과 활동 내역(이수교과목 및 성적 조회 등)” 확인이 만족스럽게 제공되었다.",쿠카이브를 통한 “교과 활동 (이수교과목 및 성적 조회 등) 내역 확인”과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,[비교과 프로그램],쿠카이브에 개설된 교내 비교과 프로그램에 참여해본 경험이 있습니까?,"참여경험이 있는 경우, 쿠카이브를 통한 비교과 프로그램 정보는 쉽게 이해할 수 있다.",쿠카이브를 통한 교내 비교과 프로그램 신청이 만족스럽게 진행되었다.,쿠카이브를 통한 교내 비교과 프로그램 운영과 관리 서비스는 만족스럽게 제공되었다.,쿠카이브를 통한 비교과 프로그램과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,[핵심역량],쿠카이브를 통해 “핵심역량진단”에 참여해본 경험이 있습니까?,"참여경험이 있는 경우, 쿠카이브를 통한 “핵심역량진단” 참여와 결과 확인은 쉽게 확인할 수 있다.",쿠카이브를 통한 “핵심역량진단” 운영과 관리 서비스는 만족스럽게 제공되었다.,쿠카이브를 통한 “핵심역량진단”와 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,[통합상담],쿠카이브를 통해 &#34;통합상담&#34;에 참여해본 적이 있습니까?,"쿠카이브를 통한 통합 상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담) 신청이 만족스럽게 진행되었다.","쿠카이브를 통한 통합 상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)운영과 관리 서비스가 만족스럽게 진행되었다.","쿠카이브를 통한 통합 상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.",[포트폴리오],"쿠카이브에서 제공하는 “포트폴리오(이력서, 자기소개서, 포트폴리오)” 기능을 사용해보신 적이 있습니까?","쿠카이브의 “포트폴리오(이력서, 자기소개서, E-포트폴리오)” 기능이 만족스럽게 제공되었다.","쿠카이브에서 제공되는 “포트폴리오(이력서, 자기소개서, 포트폴리오)” 와 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.",[커뮤니티],"쿠카이브 &#39;커뮤니티(공지사항, 자료실, Q&#38;A, 일반설문, FAQ 등)에서 제공하는 기능을 사용해보신 적이 있습니까?","쿠카이브를 통한 “커뮤니티(공지사항,자료실,Q&#38;A , 일반설문, FAQ 등)”기능이 만족스럽게 제공되었다.","쿠카이브에서 제공되는 “커뮤니티(공지사항,자료실,Q&#38;A,일반설문,FAQ 등)” 와 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.",[매뉴얼],쿠카이브 “매뉴얼” 항목탭에 접속해보신 적이 있습니까?,쿠카이브에서 제공되는 “매뉴얼”과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,비교과과정 관련 질문입니다.,[비교과과정 기본 사항],교내 비교과 프로그램에 참여한 적이 있습니까?,평소 교내 비교과 프로그램의 정보를 어디에서 취득하고 계십니까? *해당 사항에 모두 표시,교내 비교과 프로그램에 참여할 때 가장 중요하게 생각하는 요소는 무엇입니까?,[비교과과정 만족도],우리대학은 다양한 비교과 프로그램을 개설 및 운영하고 있다,우리대학의 비교과 프로그램은 목표에 맞는 적절한 내용을 다룬다.,우리대학의 비교과 프로그램에 전반적으로 만족한다.,향후 개설되었으면 하는 교내 비교과 프로그램에는 무엇이 있습니까? 자유롭게 기술해주십시오.
724,학생,불어불문학과,응답,2023-12-25,,,,,"학교 커뮤니티(고파스, 에브리타임 등),포털 공지사항","비교과 프로그램,커뮤니티(공지사항, 자료실, Q&#38;A 등),증명서 발급(비교과프로그램, 법정의무교육 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,핵심역량진단",매우 그렇다.,,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,매우 그렇다.,매우 그렇다.,,,,아니요 ??&lt;문항 33&gt;로 이동,,매우 그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,매우 그렇다.,좋습니다.,,예 ??&lt;문항 44&gt;로 이동,없습니다.,,,예 ?? &lt;문항 46&gt;로 이동,쿠카이브를 통해서,"취미, 흥미,진로탐색,전공과의 연계성",,매우 그렇다.,매우 그렇다.,매우 그렇다.,없습니다.
725,학생,사회학과,응답,2023-12-28,,,,,포털 공지사항,"교과 활동(이수교과목 및 성적조회) 내역 확인,핵심 역량 진단 검사,증명서 발급(비교과프로그램, 법정의무교육 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,핵심역량진단,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),포트폴리오(이력서, 자기소개서, 포트폴리오),증명서 발급(비교과프로그램, 법정의무교육 등)",매우 그렇다.,,매우 그렇다.,매우 그렇다.,매우 그렇다.,없습니다.,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,예 ?? &lt;문항 22&gt;로 이동,매우 그렇다.,없습니다.,,아니요 ??&lt;문항 29&gt;로 이동,매우 그렇다.,,,,,예 ??&lt;문항 30&gt;로 이동,매우 그렇다.,매우 그렇다.,없습니다.,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,매우 그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서",,,,,,
726,학생,독어독문학과,응답,2023-12-28,,,,,포털 공지사항,교과 활동(이수교과목 및 성적조회) 내역 확인,교과 활동(이수교과목 및 성적조회) 내역 확인,그렇지 않다.,,그렇지 않다.,그렇지 않다.,그렇지 않다.,"인터페이스가 난잡합니다
조금 더 보기 쉽게 만들어주시면 좋겠습니다",,그렇지 않다.,보통이다.,,그렇지 않다.,,예 ?? &lt;문항 22&gt;로 이동,그렇지 않다.,로딩이 너무 길어요,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,각 부서/단과대학 홈페이지를 통해서,,,,,,
727,학생,경영학과,응답,2023-12-23,,,,,포털 공지사항,"교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)",매우 그렇다.,,매우 그렇다.,매우 그렇다.,매우 그렇다.,없습니다.,,그렇다.,그렇다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,매우 그렇다.,없습니다.,,예 ??&lt;문항 25&gt;로 이동,그렇다.,매우 그렇다.,매우 그렇다.,없습니다.,,예 ??&lt;문항 30&gt;로 이동,그렇다.,그렇다.,없습니다.,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,전혀 그렇지 않다.,없습니다.,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,교내 단체메일을 통해서","취미, 흥미",,그렇다.,그렇다.,매우 그렇다.,
728,학생,국어국문학과,응답,2023-12-24,,,,,"포털 공지사항,교내 부서의 비교과 안내문","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,매우 그렇다.,그렇다.,그렇다.,"사이트는 잘 만들었는데, 홍보가 부족하여 사용하는 사람이 적은 느낌입니다.",,매우 그렇다.,매우 그렇다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,매우 그렇다.,매우 그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,매우 그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,매우 그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"교내 단체메일을 통해서,주변인(학과 친구, 학과 교수님 등)을 통해서","취미, 흥미,진로탐색,전공과의 연계성",,그렇다.,매우 그렇다.,매우 그렇다.,"종류는 아니고, 프로그램 형태가 온라인 이수(녹화본)가 가능하면 좋겠습니다. 듣고 싶은데 시간상 실시간 참여가 불가할 때가 많아 아쉬웠습니다."
729,학생,경영학과,응답,2023-12-20,,,,,"포털 공지사항,교내 부서의 비교과 안내문",비교과 프로그램,"비교과 프로그램,포트폴리오(이력서, 자기소개서, 포트폴리오)",매우 그렇다.,,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,그렇다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,매우 그렇다.,매우 그렇다.,다양한 기초 어학 프로그램이 준비되면 좋겠습니다.,,아니요 ??&lt;문항 33&gt;로 이동,,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,교내 단체메일을 통해서","취미, 흥미,진로탐색",,그렇다.,그렇다.,그렇다.,외국어 입문
730,학생,한문학과,응답,2023-12-20,,,,,기타,"비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)","비교과 프로그램,핵심역량진단,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),증명서 발급(비교과프로그램, 법정의무교육 등)",보통이다.,,보통이다.,그렇다.,그렇다.,,,그렇다.,매우 그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,보통이다.,그렇다.,그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,예 ??&lt;문항 38&gt;로 이동,보통이다.,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,기타,"취미, 흥미,진로탐색",,그렇다.,그렇다.,매우 그렇다.,
731,학생,경영학과,응답,2023-12-09,,,,,"학교 커뮤니티(고파스, 에브리타임 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,핵심 역량 진단 검사,포트폴리오(이력서,자기소개서,포트폴리오),증명서 발급(비교과프로그램, 법정의무교육 등)","비교과 프로그램,핵심역량진단,증명서 발급(비교과프로그램, 법정의무교육 등)",매우 그렇다.,,그렇다.,그렇다.,그렇다.,,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,예 ?? &lt;문항 22&gt;로 이동,매우 그렇다.,,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,예 ??&lt;문항 30&gt;로 이동,매우 그렇다.,매우 그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,예 ??&lt;문항 38&gt;로 이동,그렇다.,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,예 ??&lt;문항 44&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"교내 단체메일을 통해서,주변인(학과 친구, 학과 교수님 등)을 통해서","진로탐색,전공과의 연계성",,그렇다.,매우 그렇다.,매우 그렇다.,
732,학생,불어불문학과,응답,2023-11-13,,,,,교내 부서의 비교과 안내문,"핵심 역량 진단 검사,커뮤니티(공지사항, 자료실, Q&#38;A 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,핵심역량진단,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),포트폴리오(이력서, 자기소개서, 포트폴리오)",그렇다.,,그렇다.,그렇다.,보통이다.,,,그렇지 않다.,그렇지 않다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,,,,,예 ??&lt;문항 30&gt;로 이동,그렇다.,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서",,,,,,
733,학생,경영학과,응답,2023-12-20,,,,,교내 부서의 비교과 안내문,"교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,핵심 역량 진단 검사,커뮤니티(공지사항, 자료실, Q&#38;A 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,포트폴리오(이력서, 자기소개서, 포트폴리오),커뮤니티(공지사항, 자료실, Q&#38;A 등)",매우 그렇다.,,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,예 ?? &lt;문항 22&gt;로 이동,매우 그렇다.,,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,예 ??&lt;문항 30&gt;로 이동,매우 그렇다.,매우 그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,매우 그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서","진로탐색,경력인정(이수증)을 통한 스펙 쌓기",,매우 그렇다.,매우 그렇다.,매우 그렇다.,
734,학생,경영학과,응답,2023-12-26,,,,,기타,교과 활동(이수교과목 및 성적조회) 내역 확인,"교과 활동(이수교과목 및 성적조회) 내역 확인,증명서 발급(비교과프로그램, 법정의무교육 등)",보통이다.,,보통이다.,보통이다.,보통이다.,없습니다.,,보통이다.,보통이다.,,보통이다.,,예 ?? &lt;문항 22&gt;로 이동,보통이다.,없습니다.,,예 ??&lt;문항 25&gt;로 이동,보통이다.,보통이다.,보통이다.,없습니다.,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,각 부서/단과대학 홈페이지를 통해서,,,,,,
735,학생,사회학과,응답,2023-12-20,,,,,기타,교과 활동(이수교과목 및 성적조회) 내역 확인,"교과 활동(이수교과목 및 성적조회) 내역 확인,포트폴리오(이력서, 자기소개서, 포트폴리오),증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,그렇다.,보통이다.,그렇다.,,,매우 그렇다.,매우 그렇다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,매우 그렇다.,,,아니요 ??&lt;문항 29&gt;로 이동,그렇다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,그렇다.,,,예 ??&lt;문항 44&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"교내 단체메일을 통해서,교내 단체·동아리 참여를 통해서,주변인(학과 친구, 학과 교수님 등)을 통해서",,,,,,
736,학생,사회학과,응답,2023-12-28,,,,,"학교 커뮤니티(고파스, 에브리타임 등),포털 공지사항",비교과 프로그램,"교과 활동(이수교과목 및 성적조회) 내역 확인,핵심역량진단,포트폴리오(이력서, 자기소개서, 포트폴리오),증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,그렇다.,그렇다.,그렇다.,모바일 웹페이지가 가로 스크롤을 이용하는 부분이 있어서 한 눈에 보기 힘듭니다. 페이지가 한 눈에 들어올 수 있게 개선되면 좋을 것 같습니다.,,보통이다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,그렇다.,그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,예 ??&lt;문항 44&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서,주변인(학과 친구, 학과 교수님 등)을 통해서",,,,,,
737,학생,경영학과,응답,2023-12-29,,,,,포털 공지사항,교과 활동(이수교과목 및 성적조회) 내역 확인,교과 활동(이수교과목 및 성적조회) 내역 확인,보통이다.,,보통이다.,그렇지 않다.,전혀 그렇지 않다.,없다,,그렇다.,그렇다.,,보통이다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"주변인(학과 친구, 학과 교수님 등)을 통해서",진로탐색,,보통이다.,보통이다.,보통이다.,
738,학생,국어국문학과,응답,2023-12-20,,,,,"주변인(동기, 직장동료 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,핵심역량진단,커뮤니티(공지사항, 자료실, Q&#38;A 등),증명서 발급(비교과프로그램, 법정의무교육 등)",보통이다.,,그렇지 않다.,그렇다.,보통이다.,웹페이지 자체가 불안정한 것 같습니다.,,그렇지 않다.,그렇다.,,보통이다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,그렇다.,보통이다.,,,아니요 ??&lt;문항 33&gt;로 이동,,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,교내 단체메일을 통해서","취미, 흥미,경력인정(이수증)을 통한 스펙 쌓기,정신 건강 및 웰빙",,보통이다.,보통이다.,보통이다.,
739,학생,철학과,응답,2023-12-23,,,,,"포털 공지사항,교내 부서의 비교과 안내문","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,매우 그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서,주변인(학과 친구, 학과 교수님 등)을 통해서","취미, 흥미,진로탐색,전공과의 연계성",,매우 그렇다.,매우 그렇다.,매우 그렇다.,
740,학생,경영학과,응답,2023-12-23,,,,,"학교 커뮤니티(고파스, 에브리타임 등)","비교과 프로그램,커뮤니티(공지사항, 자료실, Q&#38;A 등),증명서 발급(비교과프로그램, 법정의무교육 등)","비교과 프로그램,포트폴리오(이력서, 자기소개서, 포트폴리오),증명서 발급(비교과프로그램, 법정의무교육 등)",보통이다.,,그렇다.,그렇다.,그렇다.,,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서",진로탐색,,그렇다.,그렇다.,매우 그렇다.,
741,학생,일어일문학과,응답,2023-12-22,,,,,포털 공지사항,"비교과 프로그램,핵심 역량 진단 검사",비교과 프로그램,그렇다.,,보통이다.,그렇다.,그렇다.,모집중인 비교과활동을 볼 때 이미지 없이 목록으로만 볼 수 있으면 좋겠음,,그렇다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,그렇다.,그렇다.,,,예 ??&lt;문항 30&gt;로 이동,그렇다.,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서","취미, 흥미,진로탐색,전공과의 연계성,경력인정(이수증)을 통한 스펙 쌓기",,그렇다.,그렇다.,그렇다.,해외교와의 교류 프로그램 증설
742,학생,경영학과,응답,2023-12-27,,경영학과,,,"학교 커뮤니티(고파스, 에브리타임 등),포털 공지사항","비교과 프로그램,포트폴리오(이력서,자기소개서,포트폴리오),커뮤니티(공지사항, 자료실, Q&#38;A 등)",비교과 프로그램,그렇다.,,그렇지 않다.,그렇지 않다.,보통이다.,,,그렇다.,그렇다.,,보통이다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,그렇다.,그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,예 ??&lt;문항 38&gt;로 이동,그렇지 않다.,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,교내 단체메일을 통해서","취미, 흥미,진로탐색",,보통이다.,그렇다.,그렇다.,"공학교육혁신센터에서 공과대학 학생들에게 공학과 타 분야를 연계할 수 있는 다양한 교육 프로그램을 제공하는 점이 매우 인상적이고 부러웠습니다.
다른 단과대들도, 특히 상경계열 대학들도 유사한 교육 프로그램을 적극적으로 운영하면 좋을 것 같습니다."
743,학생,경영학과,응답,2023-12-28,,,,,포털 공지사항,"교과 활동(이수교과목 및 성적조회) 내역 확인,커뮤니티(공지사항, 자료실, Q&#38;A 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,핵심역량진단,포트폴리오(이력서, 자기소개서, 포트폴리오),커뮤니티(공지사항, 자료실, Q&#38;A 등),증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,그렇다.,그렇다.,그렇다.,,,그렇다.,그렇다.,,보통이다.,,예 ?? &lt;문항 22&gt;로 이동,매우 그렇다.,확인이 쉽고 간편하며 내용 이해도 잘되었습니다.,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서",,,,,,
744,학생,경영학과,응답,2023-12-09,,,,,포털 공지사항,비교과 프로그램,비교과 프로그램,그렇다.,,그렇다.,그렇다.,그렇다.,,,그렇다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,예 ??&lt;문항 30&gt;로 이동,그렇다.,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서",진로탐색,,그렇다.,매우 그렇다.,매우 그렇다.,
